"","FECHA","HORA","CO","NO","NO2","NOX","O3","PM25"
"4995","28/07/2022",3,0.52,2,30,32,9,19
"7664","16/11/2022",8,1.4,58,31,90,3,35
"7111","24/10/2022",7,0.71,10,21,30,18,31
"3127","11/05/2022",7,0.46,7,29,36,11,21
"4881","23/07/2022",9,0.37,10,18,28,27,22
"221","10/01/2022",5,0.3,4,29,33,10,22
"2960","04/05/2022",8,1.28,33,46,79,24,35
"1924","22/03/2022",4,0.06,0,11,11,22,19
"7768","20/11/2022",16,0.64,3,26,29,50,63
"3020","06/05/2022",20,0.56,2,24,26,60,52
"2069","28/03/2022",5,0.83,41,36,77,7,23
"7805","22/11/2022",5,0.4,6,25,31,2,30
"5508","18/08/2022",12,0.22,3,13,17,60,34
"5184","04/08/2022",24,0.83,14,42,56,4,28
"1886","20/03/2022",14,0.31,1,12,14,72,25
"3392","22/05/2022",8,1.92,58,57,116,6,89
"4954","26/07/2022",10,0.68,17,28,45,24,23
"401","17/01/2022",17,0.34,2,17,19,45,27
"6697","07/10/2022",1,0.22,8,27,35,2,9
"7156","26/10/2022",4,0.22,4,25,29,6,17
"6929","16/10/2022",17,0.09,0,6,6,62,18
"7911","26/11/2022",15,0.12,1,6,7,45,17
"1814","17/03/2022",14,0.11,1,6,7,62,18
"7591","13/11/2022",7,0.89,45,23,68,3,30
"315","14/01/2022",3,1.1,63,31,94,1,35
"3239","15/05/2022",23,0.41,3,33,36,17,14
"2893","01/05/2022",13,0.3,1,11,13,102,26
"5074","31/07/2022",10,0.31,8,14,21,31,14
"6749","09/10/2022",5,0.1,2,15,17,13,2
"4906","24/07/2022",10,0.33,6,18,24,36,21
"5833","01/09/2022",1,0.19,2,20,22,7,10
"497","21/01/2022",17,0.29,3,9,13,32,14
"1862","19/03/2022",14,0.11,1,6,8,47,14
"7565","12/11/2022",5,1.07,28,40,67,3,58
"6415","25/09/2022",7,0.56,11,25,35,8,15
"1251","22/02/2022",3,0.6,27,36,63,8,22
"1042","13/02/2022",10,0.32,7,13,21,22,5
"1189","19/02/2022",13,0.41,3,23,27,76,38
"7509","09/11/2022",21,0.4,7,24,31,7,11
"6413","25/09/2022",5,0.38,5,27,32,9,11
"124","06/01/2022",4,2,66,57,123,1,48
"3334","19/05/2022",22,0.18,1,14,14,52,22
"494","21/01/2022",14,0.23,3,7,10,33,15
"1769","15/03/2022",17,0.3,2,14,17,50,21
"1891","20/03/2022",19,0.2,0,9,9,55,20
"1032","12/02/2022",24,0.2,1,13,14,25,14
