"","FECHA","HORA","CO","NO","NO2","NOX","O3","PM25"
"1682","12/03/2022",2,1.41,64,40,103,3,34
"5826","31/08/2022",18,0.14,1,8,8,61,6
"7810","22/11/2022",10,0.74,23,30,53,9,41
"7873","25/11/2022",1,1.19,26,42,68,8,30
"4901","24/07/2022",5,0.22,1,15,16,21,14
"664","28/01/2022",16,0.17,1,10,11,65,29
"7938","27/11/2022",18,0.56,3,18,21,32,21
"7777","21/11/2022",1,0.25,2,22,23,8,10
"2213","03/04/2022",5,0.63,9,27,36,16,29
"2159","31/03/2022",23,0.22,1,15,16,44,27
"2812","28/04/2022",4,0.34,3,23,26,15,22
"6513","29/09/2022",9,0.22,4,11,15,38,3
"2872","30/04/2022",16,0.24,3,11,13,78,27
"1618","09/03/2022",10,0.22,3,8,11,30,6
"453","19/01/2022",21,0.54,2,29,31,31,31
"284","12/01/2022",20,0.72,9,43,51,8,18
"7610","14/11/2022",2,0.07,0,6,6,48,17
"6457","27/09/2022",1,0.01,0,7,7,27,2
"1739","14/03/2022",11,0.54,6,23,29,52,31
"4869","22/07/2022",21,0.43,4,25,29,17,9
"91","04/01/2022",19,0.44,1,24,25,51,35
"7115","24/10/2022",11,0.49,7,22,29,44,34
"737","31/01/2022",17,0.22,2,11,14,45,12
"5832","31/08/2022",24,0.32,4,26,30,6,9
"1927","22/03/2022",7,1.01,37,31,68,4,19
"6479","27/09/2022",23,0.16,1,14,15,23,1
"1708","13/03/2022",4,0.48,8,29,37,4,18
"5079","31/07/2022",15,0.14,1,6,7,70,12
"101","05/01/2022",5,1.38,46,47,92,1,47
"1532","05/03/2022",20,0.56,3,24,27,28,17
"7485","08/11/2022",21,0.34,3,21,24,12,8
"7613","14/11/2022",5,0.09,0,8,8,37,20
"680","29/01/2022",8,0.31,4,24,29,5,11
"3510","27/05/2022",6,0.47,4,28,33,14,26
"6896","15/10/2022",8,0.35,14,23,37,12,18
"7470","08/11/2022",6,0.18,5,19,24,6,9
"2116","30/03/2022",4,0.12,1,14,14,38,36
"5140","03/08/2022",4,0.43,11,28,39,2,17
"831","04/02/2022",15,0.16,2,5,8,36,9
"1027","12/02/2022",19,0.37,2,24,27,24,12
"7982","29/11/2022",14,0.3,2,16,19,68,31
"98","05/01/2022",2,1.33,19,56,75,2,41
"1908","21/03/2022",12,0.14,1,9,10,60,20
"1871","19/03/2022",23,0.42,3,26,29,11,23
"4890","23/07/2022",18,0.26,3,12,15,52,13
"6892","15/10/2022",4,0.04,1,17,18,16,12
"572","24/01/2022",20,0.32,2,12,14,23,15
"7983","29/11/2022",15,0.27,1,14,15,82,32
"251","11/01/2022",11,0.29,13,18,30,10,10
"7587","13/11/2022",3,0.5,8,28,36,3,29
"5576","21/08/2022",8,0.93,20,29,49,5,28
"870","06/02/2022",6,0.87,21,28,49,4,16
"2784","26/04/2022",24,0.15,1,11,12,26,9
"3167","12/05/2022",23,0.23,1,15,16,25,23
"65","03/01/2022",17,0.26,1,18,19,58,45
"426","18/01/2022",18,0.3,1,18,18,45,24
"4857","22/07/2022",9,0.51,18,26,44,23,27
"654","28/01/2022",6,1.38,73,30,103,0,30
"8016","30/11/2022",24,0.44,7,28,35,8,15
"510","22/01/2022",6,0.28,3,13,16,14,8
"5763","29/08/2022",3,0.08,0,4,4,33,8
"1544","06/03/2022",8,1.12,59,35,94,2,23
"1928","22/03/2022",8,2.32,135,34,169,6,27
"1289","23/02/2022",17,0.08,0,9,9,75,14
"5016","28/07/2022",24,0.33,3,31,34,19,5
"6841","13/10/2022",1,0.22,13,23,36,5,43
"7702","17/11/2022",22,0.58,5,33,38,7,16
"3265","17/05/2022",1,0.29,1,23,24,24,26
"1405","28/02/2022",13,0.37,8,30,38,54,37
"1961","23/03/2022",17,0.16,2,8,10,54,22
"5087","31/07/2022",23,0.26,1,15,17,18,12
"5735","27/08/2022",23,0.24,2,15,17,38,12
"1036","13/02/2022",4,0.2,1,21,22,15,15
"7590","13/11/2022",6,0.5,14,23,37,2,26
"1994","25/03/2022",2,0.05,1,15,16,27,11
"6493","28/09/2022",13,0.2,2,10,12,50,5
"1261","22/02/2022",13,0.32,4,24,27,75,38
"2245","04/04/2022",13,0.13,0,6,6,66,34
"2206","02/04/2022",22,0.38,1,21,22,54,34
"2830","28/04/2022",22,0.3,1,21,22,46,20
"3358","20/05/2022",22,0.31,1,12,12,83,40
"3569","29/05/2022",17,0.18,1,7,8,73,27
"904","07/02/2022",16,0.2,2,9,11,44,18
"1193","19/02/2022",17,0.14,0,8,8,74,25
"2950","03/05/2022",22,0.12,1,13,13,63,37
"7847","23/11/2022",23,0.35,0,18,18,47,31
"1639","10/03/2022",7,0.1,0,7,8,30,13
"1424","01/03/2022",8,1.71,102,33,135,2,34
"7007","19/10/2022",23,0.38,8,34,42,4,10
"2062","27/03/2022",22,0.43,3,27,30,34,23
"2112","29/03/2022",24,0.16,0,11,11,44,26
"3540","28/05/2022",12,0.11,2,6,8,51,14
"368","16/01/2022",8,0.57,16,21,37,1,54
"2018","26/03/2022",2,0.35,4,35,40,11,29
"7767","20/11/2022",15,0.33,2,16,18,53,53
"7453","07/11/2022",13,0.31,6,20,26,50,18
"7380","04/11/2022",12,0.5,5,30,35,67,38
"1335","25/02/2022",15,0.17,1,13,13,91,29
"7090","23/10/2022",10,0.77,15,29,44,28,34
"6739","08/10/2022",19,0.17,3,15,18,18,3
"1249","22/02/2022",1,0.1,1,9,10,38,13
"7863","24/11/2022",15,0.27,1,14,15,86,42
"2924","02/05/2022",20,0.4,2,20,22,70,36
"5478","17/08/2022",6,0.69,18,39,57,3,24
"2236","04/04/2022",4,0.17,0,8,8,38,22
"7155","26/10/2022",3,0.2,2,26,28,6,25
"1431","01/03/2022",15,0.07,1,11,12,71,20
"313","14/01/2022",1,0.62,13,26,40,4,30
"2122","30/03/2022",10,0.83,15,43,58,42,37
"854","05/02/2022",14,0.38,3,16,19,62,27
"7997","30/11/2022",5,0.46,7,33,40,4,35
"7886","25/11/2022",14,0.16,3,9,12,50,16
"402","17/01/2022",18,0.29,1,13,14,38,26
"1710","13/03/2022",6,0.68,26,30,57,2,21
"3532","28/05/2022",4,0.17,1,16,17,16,18
"7671","16/11/2022",15,0.22,1,12,13,79,27
"7320","01/11/2022",24,0.23,1,17,19,21,21
"6425","25/09/2022",17,0.17,2,11,13,37,11
"7525","10/11/2022",13,0.18,3,15,18,63,32
"5539","19/08/2022",19,0.65,1,32,33,63,38
"7498","09/11/2022",10,0.83,27,33,60,17,33
"1659","11/03/2022",3,0.05,0,5,6,26,10
"7317","01/11/2022",21,0.28,2,20,22,22,24
"6434","26/09/2022",2,0.04,1,8,8,20,4
"1991","24/03/2022",23,0.33,3,29,32,16,16
"6914","16/10/2022",2,0.21,2,26,28,9,20
"330","14/01/2022",18,0.32,1,21,23,50,23
"6861","13/10/2022",21,0.16,3,17,20,18,5
"62","03/01/2022",14,0.49,5,27,32,48,54
"311","13/01/2022",23,0.57,10,33,44,3,19
"3130","11/05/2022",10,0.32,6,12,18,37,24
"925","08/02/2022",13,0.44,4,18,23,48,36
"720","30/01/2022",24,0.33,0,15,15,37,18
"6728","08/10/2022",8,0.31,8,19,27,12,3
"2165","01/04/2022",5,0.57,15,39,54,2,38
"7374","04/11/2022",6,0.4,8,20,29,22,24
"223","10/01/2022",7,0.51,11,39,50,3,30
"1211","20/02/2022",11,0.57,13,31,43,36,33
"7348","03/11/2022",4,0.16,0,12,12,22,23
"3187","13/05/2022",19,0.2,2,16,18,50,17
"5491","17/08/2022",19,0.22,1,13,14,43,11
"1760","15/03/2022",8,1.99,86,37,123,3,46
"5700","26/08/2022",12,0.39,7,25,32,52,39
"7476","08/11/2022",12,0.15,5,10,15,35,8
"3289","18/05/2022",1,0.29,1,24,25,34,31
"1602","08/03/2022",18,0.24,2,9,11,45,18
"1570","07/03/2022",10,0.99,24,37,60,22,30
"3332","19/05/2022",20,0.4,1,14,15,81,45
"1754","15/03/2022",2,0.51,2,29,31,14,29
"59","03/01/2022",11,0.18,6,13,18,18,40
"7295","31/10/2022",23,0.67,3,35,38,17,24
"3351","20/05/2022",15,0.16,1,8,9,109,29
"5064","30/07/2022",24,0.25,2,16,18,15,11
"7378","04/11/2022",10,1.19,31,51,81,28,49
"7756","20/11/2022",4,0.31,1,25,26,15,25
"7230","29/10/2022",6,0.31,1,25,27,16,22
"869","06/02/2022",5,0.08,0,7,7,25,9
"970","10/02/2022",10,0.25,5,8,13,28,9
"350","15/01/2022",14,0.15,2,10,12,39,21
"3575","29/05/2022",23,0.13,1,6,8,26,18
"5260","08/08/2022",4,0.02,1,8,9,20,6
"7390","04/11/2022",22,1.31,28,46,75,6,27
"3371","21/05/2022",11,0.46,4,27,32,79,40
"5487","17/08/2022",15,0.11,2,7,9,65,14
"2025","26/03/2022",9,0.55,17,29,46,22,34
"6774","10/10/2022",6,0.53,17,35,51,5,10
"1803","17/03/2022",3,0.4,3,27,30,11,26
"1582","07/03/2022",22,0.48,1,22,24,46,27
"3432","23/05/2022",24,0.12,1,12,13,39,14
"6608","03/10/2022",8,0.73,22,30,52,6,24
"87","04/01/2022",15,0.25,2,21,23,62,29
"7450","07/11/2022",10,0.78,24,38,61,24,26
"7265","30/10/2022",17,0.24,0,10,10,72,38
"5749","28/08/2022",13,0.3,2,10,11,85,25
"70","03/01/2022",22,0.6,6,44,50,8,32
"7792","21/11/2022",16,0.66,3,32,35,56,55
"5730","27/08/2022",18,0.21,1,13,15,46,19
"6414","25/09/2022",6,0.33,3,22,25,10,11
"2015","25/03/2022",23,0.45,3,32,35,18,15
"5122","02/08/2022",10,0.82,29,31,60,12,1
"2908","02/05/2022",4,0.15,1,14,15,36,27
"4851","22/07/2022",3,0.3,7,40,47,6,31
"5052","30/07/2022",12,0.25,5,16,21,51,29
"5006","28/07/2022",14,0.23,1,12,13,76,23
"1756","15/03/2022",4,0.51,4,25,30,8,28
"2234","04/04/2022",2,0.2,0,8,8,47,25
"7078","22/10/2022",22,0.2,1,15,16,29,19
"804","03/02/2022",12,0.1,2,6,8,33,13
"5571","21/08/2022",3,0.28,1,13,14,27,17
"7604","13/11/2022",20,0.4,0,16,16,49,33
"4924","25/07/2022",4,0.14,5,21,25,5,9
"7076","22/10/2022",20,0.26,1,16,16,35,23
"688","29/01/2022",16,0.25,1,9,10,66,20
"6937","17/10/2022",1,0.22,1,28,29,15,21
"218","10/01/2022",2,0.63,13,41,54,4,15
"3201","14/05/2022",9,0.89,35,42,77,18,50
"5227","06/08/2022",19,0.47,3,26,29,38,16
"1061","14/02/2022",5,0.04,2,18,19,8,14
"533","23/01/2022",5,0.44,7,25,33,2,26
"1026","12/02/2022",18,0.43,4,26,30,26,14
"7845","23/11/2022",21,0.56,1,22,23,47,28
"292","13/01/2022",4,0.28,11,22,33,4,11
"1948","23/03/2022",4,0.4,8,24,32,7,27
"6523","29/09/2022",19,0.24,2,15,16,33,4
"6873","14/10/2022",9,1.2,50,35,85,12,29
"197","09/01/2022",5,0.44,7,24,32,10,17
"7019","20/10/2022",11,1.2,28,46,73,32,35
"1578","07/03/2022",18,0.27,0,10,10,75,29
"139","06/01/2022",19,0.53,1,26,28,35,30
"151","07/01/2022",7,1.28,50,28,79,1,30
"5002","28/07/2022",10,1.12,26,48,74,23,47
"6334","21/09/2022",22,0.14,1,13,15,25,6
"5197","05/08/2022",13,0.07,1,9,11,79,23
"1929","22/03/2022",9,1.19,52,36,88,12,23
"6572","01/10/2022",20,0.34,1,21,22,44,21
"6497","28/09/2022",17,0.22,2,11,14,38,5
"5512","18/08/2022",16,0.19,1,10,12,53,19
"3465","25/05/2022",9,1.65,50,67,117,14,58
"1610","09/03/2022",2,0.05,0,4,4,28,8
"5058","30/07/2022",18,0.17,3,9,13,38,6
"1406","28/02/2022",14,0.13,3,15,18,63,25
"94","04/01/2022",22,0.44,1,28,29,40,34
"7093","23/10/2022",13,0.4,1,17,18,112,49
"1393","28/02/2022",1,0.11,2,16,18,13,18
"7508","09/11/2022",20,0.44,5,23,28,12,9
"6989","19/10/2022",5,0.2,3,18,20,17,1
"7135","25/10/2022",7,2.25,113,39,152,5,59
"1780","16/03/2022",4,0.45,13,27,41,4,26
"6341","22/09/2022",5,0.13,1,13,14,21,4
"26","02/01/2022",2,1.23,31,38,69,1,49
"3328","19/05/2022",16,0.06,1,7,8,86,41
"1755","15/03/2022",3,0.55,5,27,32,11,28
"6825","12/10/2022",9,0.78,30,26,56,15,22
"2806","27/04/2022",22,0.37,3,24,26,30,10
"1396","28/02/2022",4,0.05,1,15,16,11,7
"2862","30/04/2022",6,0.27,1,16,16,32,31
"5566","20/08/2022",22,0.29,1,13,15,31,7
"3164","12/05/2022",20,0.27,2,16,17,33,22
"262","11/01/2022",22,0.44,9,26,35,4,8
"7628","14/11/2022",20,0.26,1,15,16,42,20
"1774","15/03/2022",22,1.11,19,49,68,2,23
"588","25/01/2022",12,0.19,2,8,11,24,4
"3037","07/05/2022",13,0.37,2,20,22,104,44
"976","10/02/2022",16,0.12,1,5,6,46,8
"5762","29/08/2022",2,0.1,1,7,7,29,11
"3470","25/05/2022",14,0.11,1,10,11,92,31
"5024","29/07/2022",8,0.97,33,40,73,4,25
"7169","26/10/2022",17,0.38,0,18,19,83,39
"919","08/02/2022",7,0.33,3,19,22,6,12
"5080","31/07/2022",16,0.17,1,6,7,67,11
"3235","15/05/2022",19,0.13,2,10,12,49,12
"7495","09/11/2022",7,0.75,37,25,62,1,16
"7455","07/11/2022",15,0.11,2,9,11,57,9
"5814","31/08/2022",6,0.51,15,19,34,4,16
"200","09/01/2022",8,1.25,55,30,85,1,24
"1550","06/03/2022",14,0.24,1,9,10,84,24
"514","22/01/2022",10,0.75,33,27,60,11,19
"7638","15/11/2022",6,1.49,78,35,113,2,40
"3364","21/05/2022",4,0.39,1,15,15,52,43
"5534","19/08/2022",14,0.42,2,20,22,94,53
"6440","26/09/2022",8,0.36,10,16,27,16,7
"7788","21/11/2022",12,0.49,14,29,43,33,38
"4897","24/07/2022",1,0.25,1,14,16,25,8
"5664","24/08/2022",24,0.3,2,23,25,15,4
"1443","02/03/2022",3,0.21,2,27,29,11,15
"1606","08/03/2022",22,0.38,2,18,20,22,16
"179","08/01/2022",11,1.06,24,51,75,22,46
"1563","07/03/2022",3,0.48,7,19,25,22,17
"811","03/02/2022",19,0.31,2,12,14,43,16
"7909","26/11/2022",13,0.06,1,4,6,39,4
"173","08/01/2022",5,0.2,3,18,21,19,20
"1678","11/03/2022",22,0.32,1,18,20,29,18
"945","09/02/2022",9,2.27,149,41,189,2,37
"169","08/01/2022",1,1.26,40,38,78,6,36
"249","11/01/2022",9,0.49,33,24,57,4,13
"1233","21/02/2022",9,1.57,84,43,127,3,30
"7871","24/11/2022",23,0.18,0,10,10,42,24
"1987","24/03/2022",19,0.19,1,19,20,48,29
"2972","04/05/2022",20,0.42,2,20,22,79,46
"5574","21/08/2022",6,0.67,9,28,37,2,24
"710","30/01/2022",14,0.28,1,11,12,72,20
"2086","28/03/2022",22,0.33,0,18,19,57,33
